category,vtype,priority,rank,buggy_length,final_label,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOu1ut,Coun1ath,Coun1athLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count,life_time,project,origin commit,buggy commit,buggy path,fixer,fixer path,method,resolution,mark-all,mark-human,Name,File,buggy start,buggy end,field
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1532,1532,SHORT_TYPE_NAMES
MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,3,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,240,240,ACCESS_NAMES
BAD_PRACTICE,CN_IDIOM_NO_SUPER_CALL,2,16,5,1,Public Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,20,4,9,2,5,8,3,3,0,5,8,3,5,3,3,3,1,0,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.89,3,3,3,1,3,3,3,0,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,676ca076e0556f0302096966eaa3a8186e65140f,src/main/java/org/apache/commons/bcel6/verifier/structurals/OperandStack.java,ff173e0c073f1ee2e16333d3a1eb899303e33ec1,src/main/java/org/apache/commons/bcel6/verifier/structurals/OperandStack.java,clone()Ljava/lang/Object;,fixed,1,TRUE,Mini.Environment.clone(),examples\Mini\Environment.java,66,70,NO_FIELD
MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1821,1821,ATTRIBUTE_NAMES
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,2,17,1,1,Public Class,1,1,1,1,9,0,5,3,2,11,3,0,-1,0,0,-1,-1,-1,12,2,12,24,1,0,0,11,-1,141,17,68,19,33,56,-1,-1,-1,32,51,21,30,-1,-1,-1,-1,-1,3,3,3,1,-1,1,2,-1,41,29,0.82,17,17,17,12,1,1,7,0,commons-bcel,8a127b81963d28a06bc438c47dd551f860ee8055,8a127b81963d28a06bc438c47dd551f860ee8055,src/main/java/org/apache/commons/bcel6/classfile/BootstrapMethod.java,26b8224b8bd46a3a56d424ae8b9716c495e597d4,src/main/java/org/apache/commons/bcel6/classfile/BootstrapMethod.java,<init>(II[I)V,fixed,1,TRUE,org.apache.commons.bcel6.classfile.BootstrapMethod,main\java\org\apache\commons\bcel6\classfile\BootstrapMethod.java,75,75,bootstrap_arguments
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,349,349,CONSTANT_NAMES
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1859,1859,PRODUCE_STACK
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,384,384,INTERFACES_IMPLEMENTED_BY_ARRAYS
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1992,1992,ITEM_NAMES
MALICIOUS_CODE,MS_PKGPROTECT,3,20,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1518,1518,CLASS_TYPE_NAMES
MALICIOUS_CODE,MS_MUTABLE_ARRAY,2,18,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1741,1741,PRODUCE_STACK
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1719,1719,OPCODE_NAMES
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1636,1636,TYPE_OF_OPERANDS
PERFORMANCE,DM_STRING_TOSTRING,3,20,1,1,Method,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,13,0,12,1,8,1,7,3,0,5,8,1,7,3,3,3,1,2,-1,-1,-1,-1,0,-1,1,0,-1,-1,0.08,3,3,3,1,1,1,3,9,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,2ac8f67206fdaf6563b97baa9ef4cb2bbdfb8c70,src/main/java/org/apache/commons/bcel6/verifier/VerifierAppFrame.java,3d2e4a013b9f1bf0612afcf53eaa996d654860ff,src/main/java/org/apache/commons/bcel6/verifier/VerifierAppFrame.java,classNamesJList_valueChanged(Ljavax/swing/event/ListSelectionEvent;)V,fixed,1,TRUE,org.apache.commons.bcel6.verifier.VerifierAppFrame.classNamesJList_valueChanged(ListSelectionEvent),main\java\org\apache\commons\bcel6\verifier\VerifierAppFrame.java,244,244,NO_FIELD
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1789,1789,CONSUME_STACK
MALICIOUS_CODE,MS_MUTABLE_ARRAY,2,18,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,3,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,b71a0f371551be0ce4a0b775f8753e0d9ca685df,src/main/java/org/apache/commons/bcel6/Constants.java,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1532,1532,TYPE_OF_OPERANDS
MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1455,1455,SHORT_TYPE_NAMES
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,248,248,ACCESS_NAMES
MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,b71a0f371551be0ce4a0b775f8753e0d9ca685df,src/main/java/org/apache/commons/bcel6/Constants.java,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1867,1867,METHODHANDLE_NAMES
MALICIOUS_CODE,MS_MUTABLE_ARRAY,2,18,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1466,1466,NO_OF_OPERANDS
MALICIOUS_CODE,MS_PKGPROTECT,2,18,1,1,Public Class,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14,0,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,2046,2046,METHODHANDLE_NAMES
MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,1,1,Public Class,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,1,54,54,2,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,fixed,1,TRUE,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1844,1844,ITEM_NAMES
